Cont. No,Deal Date ,Date,Counterpart,Curr,Amount,Price,Type,Settlement Date, Curr,,Brokg. ,Trader Type,Maturity- Days,Maturity Months
 210405001,05/04/2021,Apr,INDIAN BANK-MUMBAI,USD,5000000 ,73.33500 ,OUTRIGHT,07/04/2021,INR,Y,"4,000.00 ",Seller,2.00,0
 210405002,05/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,25000000 ,73.42000 ,LONG SWAP,07/04/2021,INR,N,"12,500.00 ",Seller,2.00,0
 210405003,05/04/2021,Apr,KOTAK MAHINDRA BANK LTD.-MUMBAI,USD,25000000 ,73.49400 ,,15/04/2021,INR,N,<Default Format>,Seller,10.00,0
 210405004,05/04/2021,Apr,STATE BANK OF INDIA-MUMBAI,USD,30000000 ,73.34500 ,LONG SWAP,07/04/2021,INR,Y,"13,500.00 ",Seller,2.00,0
 210405005,05/04/2021,Apr,BANK OF INDIA-MUMBAI,USD,30000000 ,73.62500 ,LONG SWAP,07/05/2021,INR,Y,"7,500.00 ",Seller,32.00,1
 210406001,06/04/2021,Apr,BANK OF INDIA-MUMBAI,USD,25000000 ,73.34000 ,LONG SWAP,08/04/2021,INR,Y,"9,375.00 ",Seller,2.00,0
 210406002,06/04/2021,Apr,BANK OF BARODA-MUMBAI,USD,25000000 ,73.80500 ,LONG SWAP,28/05/2021,INR,Y,"9,375.00 ",Seller,52.00,2
 210406003,06/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,10000000 ,73.31000 ,,08/04/2021,INR,N,<Default Format>,Seller,2.00,0
 210406004,06/04/2021,Apr,BANK OF BARODA-MUMBAI,USD,10000000 ,73.78050 ,LONG SWAP,28/05/2021,INR,N,"3,750.00 ",Seller,52.00,2
 210406005,06/04/2021,Apr,UCO BANK-MUMBAI,USD,10000000 ,73.31500 ,,08/04/2021,INR,N,<Default Format>,Seller,2.00,0
 210406006,06/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,10000000 ,76.50000 ,LONG SWAP,28/02/2022,INR,N,"5,000.00 ",Seller,328.00,11
 210406007,06/04/2021,Apr,STATE BANK OF INDIA-MUMBAI,USD,25000000 ,73.31000 ,LONG SWAP,08/04/2021,INR,N,"11,250.00 ",Seller,2.00,0
 210406008,06/04/2021,Apr,HONGKONG & SHANGHAI BANKING CORPORATION-MUMBAI,USD,25000000 ,73.50500 ,,30/04/2021,INR,N,<Default Format>,Seller,24.00,1
 210406009,06/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,25000000 ,73.76750 ,LONG SWAP,28/05/2021,INR,N,"5,000.00 ",Seller,52.00,2
 210406010,06/04/2021,Apr,HONGKONG & SHANGHAI BANKING CORPORATION-MUMBAI,USD,25000000 ,74.07750 ,,30/06/2021,INR,N,<Default Format>,Seller,85.00,3
 210406011,06/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,20000000 ,74.12000 ,LONG SWAP,30/06/2021,INR,N,"9,000.00 ",Seller,85.00,3
 210406012,06/04/2021,Apr,JPMORGAN CHASE BANKN.A-MUMBAI,USD,20000000 ,75.66000 ,,30/11/2021,INR,N,<Default Format>,Seller,238.00,8
 210406013,06/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,10000000 ,73.34000 ,,08/04/2021,INR,N,<Default Format>,Seller,2.00,0
 210407001,07/04/2021,Apr,CANARA BANK-MUMBAI,USD,10000000 ,73.80000 ,OUTRIGHT,09/04/2021,INR,Y,"6,000.00 ",Seller,2.00,0
 210407002,07/04/2021,Apr,CREDIT SUISSE AG-MUMBAI,USD,100000000 ,73.80000 ,SHORT SWAP,08/04/2021,INR,N,"10,000.00 ",Seller,1.00,0
 210407003,07/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,100000000 ,73.80790 ,,09/04/2021,INR,N,<Default Format>,Seller,2.00,0
 210407004,07/04/2021,Apr,BANK OF AMERICA-MUMBAI,USD,10000000 ,73.83000 ,OUTRIGHT,09/04/2021,INR,Y,"10,000.00 ",Seller,2.00,0
 210407005,07/04/2021,Apr,AXIS BANK LTD.-MUMBAI,USD,6000000 ,74.01000 ,LONG SWAP,09/04/2021,INR,N,"3,000.00 ",Seller,2.00,0
 210407006,07/04/2021,Apr,INDIAN BANK-MUMBAI,USD,6000000 ,74.45000 ,LONG SWAP,28/05/2021,INR,Y,"2,400.00 ",Seller,51.00,2
 210407007,07/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,6000000 ,74.03000 ,,08/04/2021,INR,N,<Default Format>,Seller,1.00,0
 210407008,07/04/2021,Apr,INDIAN BANK-MUMBAI,USD,6000000 ,74.03750 ,OUTRIGHT,09/04/2021,INR,N,"4,800.00 ",Seller,2.00,0
 210407009,07/04/2021,Apr,AXIS BANK LTD.-MUMBAI,USD,20000000 ,74.03000 ,LONG SWAP,09/04/2021,INR,Y,"10,000.00 ",Seller,2.00,0
 210407010,07/04/2021,Apr,INDIAN BANK-MUMBAI,USD,20000000 ,76.11000 ,LONG SWAP,09/11/2021,INR,Y,"8,000.00 ",Seller,216.00,7
 210407011,07/04/2021,Apr,STANDARD CHARTERED BANK-MUMBAI,USD,25000000 ,74.06000 ,LONG SWAP,09/04/2021,INR,Y,"12,500.00 ",Seller,2.00,0
 210407012,07/04/2021,Apr,BANK OF INDIA-MUMBAI,USD,25000000 ,75.12000 ,LONG SWAP,30/07/2021,INR,Y,"11,250.00 ",Seller,114.00,4
 210407013,07/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,10000000 ,74.23500 ,LONG SWAP,09/04/2021,INR,Y,"5,000.00 ",Seller,2.00,0
 210407014,07/04/2021,Apr,IDFC FIRST BANK LIMITED-MUMBAI,USD,10000000 ,74.99500 ,LONG SWAP,30/06/2021,INR,Y,"5,000.00 ",Seller,84.00,3
 210407015,07/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,10000000 ,74.33000 ,LONG SWAP,09/04/2021,INR,N,"5,000.00 ",Seller,2.00,0
 210407016,07/04/2021,Apr,STANDARD CHARTERED BANK-MUMBAI,USD,10000000 ,76.89500 ,,31/12/2021,INR,N,<Default Format>,Seller,268.00,9
 210408001,08/04/2021,Apr,CREDIT SUISSE AG-MUMBAI,USD,25000000 ,74.20650 ,SHORT SWAP,09/04/2021,INR,Y,"2,500.00 ",Seller,1.00,0
 210408002,08/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,25000000 ,74.23000 ,SHORT SWAP,12/04/2021,INR,Y,"2,500.00 ",Seller,4.00,0
 210408003,08/04/2021,Apr,INDIAN BANK-MUMBAI,USD,5000000 ,74.33750 ,LONG SWAP,09/04/2021,INR,Y,"2,000.00 ",Seller,1.00,0
 210408004,08/04/2021,Apr,STATE BANK OF INDIA-MUMBAI,USD,5000000 ,74.60500 ,LONG SWAP,10/05/2021,INR,Y,"2,250.00 ",Seller,32.00,1
 210408005,08/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,5000000 ,74.48000 ,,12/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210408006,08/04/2021,Apr,BARCLAYS BANK-MUMBAI,USD,25000000 ,74.78000 ,,12/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210408007,08/04/2021,Apr,SUMITOMO MITSUI BANKING COPRORATION-NEW DELHI,USD,25000000 ,75.17500 ,LONG SWAP,28/05/2021,INR,N,"11,250.00 ",Seller,50.00,2
 210409001,09/04/2021,Apr,CREDIT SUISSE AG-MUMBAI,USD,100000000 ,74.56200 ,SHORT SWAP,12/04/2021,INR,N,"10,000.00 ",Seller,3.00,0
 210409002,09/04/2021,Apr,AXIS BANK LTD.-MUMBAI,USD,100000000 ,74.58500 ,,15/04/2021,INR,N,<Default Format>,Seller,6.00,0
 210409003,09/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,10000000 ,74.60000 ,,15/04/2021,INR,N,<Default Format>,Seller,6.00,0
 210409004,09/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,10000000 ,76.41500 ,LONG SWAP,29/10/2021,INR,N,"4,500.00 ",Seller,203.00,7
 210409005,09/04/2021,Apr,STANDARD CHARTERED BANK-MUMBAI,USD,3000000 ,74.81000 ,LONG SWAP,15/04/2021,INR,Y,"1,500.00 ",Seller,6.00,0
 210409006,09/04/2021,Apr,FEDERAL BANK-MUMBAI,USD,3000000 ,77.22000 ,LONG SWAP,31/12/2021,INR,Y,"1,875.00 ",Seller,266.00,9
 210409007,09/04/2021,Apr,STANDARD CHARTERED BANK-MUMBAI,USD,7000000 ,74.80500 ,SHORT SWAP,12/04/2021,INR,Y,525.00 ,Seller,3.00,0
 210409008,09/04/2021,Apr,INDIAN BANK-MUMBAI,USD,7000000 ,74.82750 ,,15/04/2021,INR,N,<Default Format>,Seller,6.00,0
